"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","536","test_login_negative[firefox-empty_username]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"","285","test_login_negative[chromium-locked_out]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"","381","test_complete_checkout_flow[webkit]","tests","2026-09-23","broken","2026-09-23","","test_checkout","",""
"","503","test_add_to_cart_and_verify_item[firefox]","tests","2026-09-23","broken","2026-09-23","","test_cart","",""
"","412","test_add_to_cart_and_verify_item[webkit]","tests","2026-09-23","broken","2026-09-23","","test_cart","",""
"","269","test_checkout_form_validation[chromium-missing_postal_code]","tests","2026-09-23","broken","2026-09-23","","test_checkout","",""
"","299","test_remove_item_from_cart[chromium]","tests","2026-09-23","broken","2026-09-23","","test_cart","",""
"","384","test_checkout_form_validation[firefox-missing_last_name]","tests","2026-09-23","broken","2026-09-23","","test_checkout","",""
"","456","test_remove_item_from_cart[firefox]","tests","2026-09-23","broken","2026-09-23","","test_cart","",""
"","371","test_catalog_sorting[chromium-name_a_to_z]","tests","2026-09-23","passed","2026-09-23","TestInventory","test_inventory","",""
"","329","test_add_to_cart_and_verify_item[chromium]","tests","2026-09-23","broken","2026-09-23","","test_cart","",""
"","387","test_remove_item_from_cart[webkit]","tests","2026-09-23","broken","2026-09-23","","test_cart","",""
"","380","test_catalog_sorting[chromium-name_z_to_a]","tests","2026-09-23","passed","2026-09-23","TestInventory","test_inventory","",""
"","342","test_catalog_sorting[chromium-price_high_to_low]","tests","2026-09-23","passed","2026-09-23","TestInventory","test_inventory","",""
"","460","test_complete_checkout_flow[firefox]","tests","2026-09-23","broken","2026-09-23","","test_checkout","",""
"","274","test_login_negative[chromium-empty_username]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"","375","test_checkout_form_validation[webkit-missing_first_name]","tests","2026-09-23","broken","2026-09-23","","test_checkout","",""
"","476","test_successful_login[webkit]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
