"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","415","test_login_negative[webkit-invalid_credentials]","tests","2026-09-24","passed","2026-09-24","","test_login","",""
"","847","test_checkout_form_validation[webkit-missing_last_name]","tests","2026-09-24","passed","2026-09-24","TestCheckout","test_checkout","",""
"","1093","test_cancel_on_checkout_step_one_returns_to_cart[firefox]","tests","2026-09-24","passed","2026-09-24","TestCart","test_cart","",""
"","652","test_login_negative[firefox-locked_out]","tests","2026-09-24","passed","2026-09-24","","test_login","",""
"","495","test_add_to_cart_and_verify_item[chromium]","tests","2026-09-24","passed","2026-09-24","TestCart","test_cart","",""
"","493","test_successful_login[firefox]","tests","2026-09-24","passed","2026-09-24","","test_login","",""
"","816","test_remove_item_from_cart[firefox]","tests","2026-09-24","passed","2026-09-24","TestCart","test_cart","",""
"","914","test_cancel_on_checkout_step_two_returns_to_inventory[webkit]","tests","2026-09-24","passed","2026-09-24","TestCart","test_cart","",""
"","936","test_complete_checkout_flow[webkit]","tests","2026-09-24","passed","2026-09-24","TestCheckout","test_checkout","",""
"","409","test_catalog_sorting[chromium-price_low_to_high]","tests","2026-09-24","passed","2026-09-24","TestInventory","test_inventory","",""
"","713","test_checkout_form_validation[chromium-missing_last_name]","tests","2026-09-24","passed","2026-09-24","TestCheckout","test_checkout","",""
"","369","test_login_negative[webkit-empty_username]","tests","2026-09-24","passed","2026-09-24","","test_login","",""
"","532","test_catalog_sorting[webkit-price_high_to_low]","tests","2026-09-24","passed","2026-09-24","TestInventory","test_inventory","",""
"","1626","test_logout_redirects_to_login_page[firefox]","tests","2026-09-24","passed","2026-09-24","TestInventory","test_inventory","",""
"","1846","test_reset_app_state_clears_cart[firefox]","tests","2026-09-24","passed","2026-09-24","TestInventory","test_inventory","",""
"","453","test_catalog_sorting[webkit-name_a_to_z]","tests","2026-09-24","passed","2026-09-24","TestInventory","test_inventory","",""
