"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","test_successful_login[webkit]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","472","test_successful_login[firefox]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","379","test_catalog_sorting[chromium-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","645","test_cancel_on_checkout_step_two_returns_to_inventory[webkit]","tests","2026-09-25","broken","2026-09-25","TestCart","test_cart","",""
"","3395","test_checkout_form_validation[firefox-missing_postal_code]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","811","test_remove_item_from_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","354","test_login_negative[webkit-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","807","test_add_to_cart_and_verify_item[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","496","test_catalog_sorting[webkit-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","551","test_checkout_form_validation[chromium-missing_postal_code]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","372","test_login_negative[webkit-locked_out]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","395","test_catalog_sorting[firefox-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","578","test_catalog_sorting[firefox-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","267","test_login_negative[chromium-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","298","test_login_negative[chromium-locked_out]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","658","test_complete_checkout_flow[webkit]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","532","test_login_negative[firefox-locked_out]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","1336","test_logout_redirects_to_login_page[chromium]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","567","test_catalog_sorting[webkit-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","379","test_catalog_sorting[chromium-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","644","test_checkout_form_validation[webkit-missing_first_name]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","1586","test_logout_redirects_to_login_page[firefox]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","513","test_catalog_sorting[webkit-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","692","test_remove_item_from_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","604","test_checkout_form_validation[firefox-missing_last_name]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","352","test_login_negative[firefox-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","465","test_checkout_form_validation[chromium-missing_first_name]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","198","test_login_negative[chromium-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","474","test_login_negative[firefox-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","534","test_catalog_sorting[firefox-name_a_to_z]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","1469","test_reset_app_state_clears_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","566","test_cancel_on_checkout_step_two_returns_to_inventory[chromium]","tests","2026-09-25","broken","2026-09-25","TestCart","test_cart","",""
"","376","test_catalog_sorting[chromium-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","837","test_checkout_form_validation[webkit-missing_postal_code]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","558","test_complete_checkout_flow[chromium]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","384","test_login_negative[firefox-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","388","test_catalog_sorting[firefox-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","1399","test_reset_app_state_clears_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","538","test_add_to_cart_and_verify_item[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","425","test_catalog_sorting[chromium-name_a_to_z]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","965","test_cancel_on_checkout_step_one_returns_to_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","625","test_checkout_form_validation[webkit-missing_last_name]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","287","test_login_negative[webkit-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","603","test_add_to_cart_and_verify_item[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","283","test_login_negative[webkit-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","1001","test_cancel_on_checkout_step_one_returns_to_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","204","test_successful_login[chromium]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","885","test_complete_checkout_flow[firefox]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","701","test_cancel_on_checkout_step_one_returns_to_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","1549","test_logout_redirects_to_login_page[webkit]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","418","test_catalog_sorting[webkit-name_a_to_z]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","489","test_checkout_form_validation[chromium-missing_last_name]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
"","293","test_login_negative[chromium-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","886","test_cancel_on_checkout_step_two_returns_to_inventory[firefox]","tests","2026-09-25","broken","2026-09-25","TestCart","test_cart","",""
"","522","test_remove_item_from_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","1682","test_reset_app_state_clears_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","2967","test_checkout_form_validation[firefox-missing_first_name]","tests","2026-09-25","broken","2026-09-25","TestCheckout","test_checkout","",""
