"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","764","test_remove_item_from_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","284","test_catalog_sorting[chromium-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","585","test_checkout_form_validation[chromium-missing_first_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","659","test_cancel_on_checkout_step_two_returns_to_inventory[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","438","test_login_negative[firefox-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","316","test_login_negative[chromium-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","837","test_checkout_form_validation[webkit-missing_postal_code]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","1460","test_logout_redirects_to_login_page[firefox]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","1378","test_logout_redirects_to_login_page[webkit]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","602","test_catalog_sorting[firefox-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","388","test_login_negative[webkit-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","497","test_catalog_sorting[firefox-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","1205","test_complete_checkout_flow[firefox]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","921","test_cancel_on_checkout_step_one_returns_to_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","1212","test_logout_redirects_to_login_page[chromium]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","329","test_login_negative[webkit-locked_out]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","277","test_login_negative[chromium-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","1634","test_reset_app_state_clears_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","555","test_checkout_form_validation[chromium-missing_postal_code]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","809","test_add_to_cart_and_verify_item[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","920","test_checkout_form_validation[firefox-missing_first_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","845","test_checkout_form_validation[webkit-missing_first_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","408","test_catalog_sorting[webkit-name_a_to_z]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","672","test_complete_checkout_flow[chromium]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","768","test_checkout_form_validation[webkit-missing_last_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","428","test_catalog_sorting[chromium-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","498","test_catalog_sorting[firefox-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","420","test_login_negative[firefox-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","1583","test_reset_app_state_clears_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","560","test_cancel_on_checkout_step_one_returns_to_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","425","test_add_to_cart_and_verify_item[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","449","test_remove_item_from_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","1165","test_cancel_on_checkout_step_one_returns_to_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","231","test_successful_login[chromium]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","1374","test_reset_app_state_clears_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","918","test_checkout_form_validation[firefox-missing_last_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","322","test_login_negative[chromium-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","500","test_login_negative[firefox-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","481","test_catalog_sorting[webkit-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","517","test_catalog_sorting[webkit-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","432","test_catalog_sorting[webkit-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","906","test_complete_checkout_flow[webkit]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","299","test_successful_login[webkit]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","667","test_checkout_form_validation[chromium-missing_last_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","396","test_login_negative[webkit-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
